word,class,level,translation
convict,verb,c1,осужденный
conviction,noun,c1,убеждение
convince,verb,b1,убеждать
convinced,adjective,b2,убежденный
convincing,adjective,b2,убедительный
cook,noun,a2,готовить
cooker,noun,a2,плита
cooking,noun,a1,кулинария
cool,adjective,a1,прохладный
cooperate,verb,c1,сотрудничать
cooperative,adjective,c1,кооператив
coordinate,verb,c1,координировать
coordination,noun,c1,координация
coordinator,noun,c1,координатор
cop,noun,c1,полицейский
cope,verb,b2,справляться
copper,noun,c1,медь
copy,noun,a2,копия
copyright,noun,c1,Авторское право
core,adjective,b2,основной
corner,noun,a2,угол
corporate,adjective,b2,корпоративный
corporation,noun,b2,корпорация
correct,adjective,a1,правильный
correction,noun,c1,коррекция
correctly,adverb,a2,правильно
correlate,verb,c1,коррелирует
correlation,noun,c1,корреляция
correspond,verb,c1,соответствовать
correspondence,noun,c1,переписка
correspondent,noun,c1,корреспондент
corresponding,adjective,c1,соответствующий
corridor,noun,b2,коридор
corrupt,adjective,c1,коррумпированный
corruption,noun,c1,коррупция
cost,noun,a1,расходы
costly,adjective,c1,дорого
costume,noun,b1,костюм
cottage,noun,b1,коттедж
cotton,noun,b1,хлопок
could,modal verb,a1,мог
council,noun,b2,Совет
councillor,noun,c1,советник
counselling,noun,c1,консультирование
counsellor,noun,c1,консультант
count,noun,b1,считать
counter,noun,b2,прилавок
counterpart,noun,c1,коллега
countless,adjective,c1,бесчисленное количество
country,noun,a1,страна
countryside,noun,b1,сельская местность
county,noun,b2,графство
coup,noun,c1,переворот
couple,noun,a2,пара
courage,noun,b2,храбрость
course,noun,a1,курс
court,noun,b1,суд
courtesy,noun,c1,учтивость
cousin,noun,a1,двоюродный брат
cover,noun,b1,крышка
coverage,noun,b2,покрытие
covered,adjective,b1,покрытый
cow,noun,a1,корова
crack,noun,b2,трескаться
craft,noun,b2,ремесло
crash,noun,b2,крушение
crawl,verb,c1,ползти
crazy,adjective,a2,сумасшедший
cream,adjective,b1,крем
create,verb,a1,создавать
creation,noun,b2,Создание
creative,adjective,a2,творческий
creativity,noun,b2,креативность
creator,noun,c1,Создатель
creature,noun,b2,существо
credibility,noun,c1,доверие
credible,adjective,c1,заслуживающий доверия
credit,noun,a2,кредит
creep,verb,c1,слизняк
crew,noun,b2,экипаж
crime,noun,a2,преступление
criminal,adjective,b1,преступник
crisis,noun,b2,кризис
criterion,noun,b2,критерий
critic,noun,b2,критик
critical,adjective,b2,критический
critically,adverb,b2,критически
criticism,noun,b2,критика
criticize,verb,b2,критиковать
critique,noun,c1,критика
crop,noun,b2,обрезать
cross,noun,a2,крест
crowd,noun,a2,толпа
crowded,adjective,a2,переполненный
crown,noun,c1,корона
crucial,adjective,b2,ключевой
crude,adjective,c1,грубый
cruel,adjective,b1,жестокий
cruise,noun,b2,круиз
crush,verb,c1,раздавить
cry,noun,b2,плакать
crystal,noun,c1,кристалл
cue,noun,b2,подсказка
cult,adjective,c1,культ
cultivate,verb,c1,культивировать
cultural,adjective,b1,культурный
culture,noun,a1,культура
cup,noun,a1,чашка
cupboard,noun,a2,буфет
cure,noun,b2,излечивать
curiosity,noun,c1,любопытство
curious,adjective,b2,любопытный
curly,adjective,a2,кудрявый
currency,noun,b1,валюта
current,adjective,b1,текущий
currently,adverb,b1,в настоящее время
curriculum,noun,b2,учебный план
curtain,noun,b1,занавес
curve,noun,b2,изгиб
curved,adjective,b2,изогнутый
custody,noun,c1,попечение
custom,noun,b1,обычай
customer,noun,a1,клиент
cut,noun,b1,резать
cute,adjective,b2,милый
cutting,noun,c1,резка
cycle,noun,a2,цикл
cynical,adjective,c1,циничный
dad,noun,a1,папа
daily,adjective,a2,ежедневно
dairy,adjective,b2,молочный
dam,noun,c1,плотина
damage,noun,b1,повреждать
damaging,adjective,c1,повреждающий
dance,noun,a1,танец
dancer,noun,a1,танцовщица
dancing,noun,a1,танцы
danger,noun,a2,Опасность
dangerous,adjective,a1,опасный
dare,verb,b2,осмеливаться
dark,adjective,a1,темный
darkness,noun,b2,тьма
data,noun,a2,данные
database,noun,b2,база данных
date,noun,a1,дата
daughter,noun,a1,дочь
dawn,noun,c1,рассвет
day,noun,a1,день
dead,adjective,a2,мертвый
deadline,noun,b2,крайний срок
deadly,adjective,b2,смертоносный
deal,noun,b1,иметь дело
dealer,noun,b2,дилер
dear,adjective,a1,дорогой
death,noun,a2,смерть
debate,noun,b2,дебаты
debris,noun,c1,обломки
debt,noun,b2,долг
debut,noun,c1,дебютный
decade,noun,b1,десятилетие
December,noun,a1,Декабрь
decent,adjective,b2,приличный
decide,verb,a1,решать
decision,noun,a2,решение
decision-making,noun,c1,принятие решений
decisive,adjective,c1,решающий
deck,noun,b2,палуба
declaration,noun,c1,декларация
declare,verb,b2,объявить
decline,noun,b2,отклонить
decorate,verb,b1,украсить
decoration,noun,b2,украшение
decrease,noun,b2,снижаться
dedicated,adjective,c1,преданный
dedication,noun,c1,преданность
deed,noun,c1,поступок
deem,verb,c1,пособие
deep,adjective,a2,глубокий
deeply,adverb,b2,глубоко
default,noun,c1,по умолчанию
defeat,noun,b2,поражение
defect,noun,c1,дефект
defence,noun,b2,защита
defend,verb,b2,защищать
defender,noun,b2,защитник
defensive,adjective,c1,защитник
deficiency,noun,c1,дефицит
deficit,noun,c1,дефицит
define,verb,b1,определять
definite,adjective,b1,определенный
definitely,adverb,a2,определенно
definition,noun,b1,определение
defy,verb,c1,вызов
degree,noun,a2,степень
delay,noun,b2,задерживать
delegate,noun,c1,делегат
delegation,noun,c1,делегация
delete,verb,b2,удалить
deliberate,adjective,b2,преднамеренный
deliberately,adverb,b2,умышленно
delicate,adjective,c1,деликатный
delicious,adjective,a1,вкусный
delight,noun,b2,восторг
delighted,adjective,b2,получивший удовольствие
deliver,verb,b1,доставлять
delivery,noun,b2,доставка
demand,noun,b2,требовать
democracy,noun,b2,демократия
democratic,adjective,b2,демократический
demon,noun,c1,демон
demonstrate,verb,b2,продемонстрировать
demonstration,noun,b2,демонстрация
denial,noun,c1,отрицание
denounce,verb,c1,денонсировать
dense,adjective,c1,плотный
density,noun,c1,плотность
dentist,noun,a2,стоматолог
deny,verb,b2,отрицать
depart,verb,b2,вылетать
department,noun,a2,отделение
departure,noun,b1,отправление
depend,verb,a2,зависеть
dependence,noun,c1,зависимость
dependent,adjective,b2,зависимый
depict,verb,c1,изображение
deploy,verb,c1,развертывать
deployment,noun,c1,развертывание
deposit,noun,b2,депозитный
depressed,adjective,b2,подавлен
depressing,adjective,b2,удручающий
depression,noun,b2,депрессия
deprive,verb,c1,лишать
depth,noun,b2,глубина
deputy,noun,c1,депутат
derive,verb,b2,вывести
descend,verb,c1,спускаться
descent,noun,c1,спуск
describe,verb,a1,описывать
description,noun,a1,описание
desert,noun,a2,пустыня
deserve,verb,b2,заслуживать
design,noun,a1,дизайн
designate,verb,c1,назначить
designer,noun,a2,дизайнер
desirable,adjective,c1,желательно
desire,noun,b2,желание
desk,noun,a1,рабочий стол
desktop,noun,c1,настольный компьютер
desperate,adjective,b2,отчаянный
desperately,adverb,b2,отчаянно
despite,preposition,b1,несмотря на
destination,noun,b1,место назначения
destroy,verb,a2,разрушать
destruction,noun,b2,разрушение
destructive,adjective,c1,разрушительный
detail,noun,a1,деталь
detailed,adjective,b2,подробный
detain,verb,c1,задержать
detect,verb,b2,обнаруживать
detection,noun,c1,обнаружение
detective,noun,a2,детектив
detention,noun,c1,задержание
deteriorate,verb,c1,ухудшаться
determination,noun,b2,определение
determine,verb,b1,определять
determined,adjective,b1,определенный
devastate,verb,c1,опустошить
develop,verb,a2,развивать
development,noun,b1,разработка
device,noun,a2,устройство
devil,noun,c1,дьявол
devise,verb,c1,придумать
devote,verb,b2,посвящать
diagnose,verb,c1,диагноз
diagnosis,noun,c1,диагноз
diagram,noun,b1,диаграмма
dialogue,noun,a1,диалог
diamond,noun,b1,бриллиант
diary,noun,a2,дневник
dictate,verb,c1,диктовать
dictator,noun,c1,диктатор
dictionary,noun,a1,словарь
die,verb,a1,умирать
diet,noun,a1,диета
differ,verb,b2,отличается
difference,noun,a1,разница
different,adjective,a1,другой
differentiate,verb,c1,дифференцировать
differently,adverb,a2,по -другому
difficult,adjective,a1,трудный
difficulty,noun,b1,сложность
dig,verb,b2,раскопать
digital,adjective,a2,цифровой
dignity,noun,c1,достоинство
dilemma,noun,c1,дилемма
dimension,noun,c1,измерение
diminish,verb,c1,уменьшить
dinner,noun,a1,ужин
dip,verb,c1,окунать
diplomat,noun,c1,дипломат
diplomatic,adjective,c1,дипломатический
direct,adjective,a2,прямой
direction,noun,a2,направление
directly,adverb,b1,напрямую
director,noun,a2,директор
directory,noun,c1,каталог
dirt,noun,b1,грязь
dirty,adjective,a1,грязный
disability,noun,b2,инвалидность
disabled,adjective,b2,неполноценный
disadvantage,noun,b1,недостаток
disagree,verb,a2,не согласен
disagreement,noun,b2,разногласия
disappear,verb,a2,пропадать
disappoint,verb,b2,разочаровать
disappointed,adjective,b1,расстроенный
disappointing,adjective,b1,разочаровывает
disappointment,noun,b2,разочарование
disaster,noun,a2,катастрофа
disastrous,adjective,c1,катастрофический
disc,noun,b2,диск
discard,verb,c1,отказаться
discharge,verb,c1,увольнять
discipline,noun,b2,дисциплина
disclose,verb,c1,раскрыть
disclosure,noun,c1,раскрытие
discount,noun,b1,скидка
discourage,verb,b2,обескураживать
discourse,noun,c1,дискурс
discover,verb,a2,обнаружить
discovery,noun,a2,Открытие
discretion,noun,c1,осмотрительность
discrimination,noun,c1,дискриминация
discuss,verb,a1,обсуждать
discussion,noun,a2,дискуссия
disease,noun,a2,болезнь
dish,noun,a1,блюдо
dishonest,adjective,b2,Нечестный
disk,noun,b2,диск
dislike,noun,b1,неприязнь
dismiss,verb,b2,увольнять
dismissal,noun,c1,увольнение
disorder,noun,b2,расстройство
displace,verb,c1,вытеснять
display,noun,b2,отображать
disposal,noun,c1,утилизация
dispose,verb,c1,расположить
dispute,noun,c1,спор
disrupt,verb,c1,разрушать
disruption,noun,c1,нарушение
dissolve,verb,c1,растворить
distance,noun,a2,расстояние
distant,adjective,b2,далекий
distinct,adjective,b2,отчетливый
distinction,noun,c1,различие
distinctive,adjective,c1,отличительный
distinguish,verb,b2,различать
distort,verb,c1,искажать
distract,verb,b2,отвлекать
distress,noun,c1,бедствие
distribute,verb,b2,распределять
distribution,noun,b2,распределение
district,noun,b2,округ
disturb,verb,b2,беспокоить
disturbing,adjective,c1,тревожный
dive,noun,b2,погружение
diverse,adjective,b2,разнообразный
diversity,noun,b2,разнообразие
divert,verb,c1,диверт
divide,noun,b2,разделять
divine,adjective,c1,божественный
division,noun,b2,разделение
divorce,noun,b2,развод
divorced,adjective,a2,в разводе
do,verb,a1,делать
doctor,noun,a1,доктор
doctrine,noun,c1,доктрина
document,noun,a2,документ
documentary,noun,b1,документальный фильм
documentation,noun,c1,документация
dog,noun,a1,собака
dollar,noun,a1,доллар
domain,noun,c1,домен
domestic,adjective,b2,одомашненный
dominance,noun,c1,доминирование
dominant,adjective,b2,доминирующий
dominate,verb,b2,доминировать
donate,verb,b1,пожертвовать
donation,noun,b2,пожертвование
donor,noun,c1,донор
door,noun,a1,дверь
dose,noun,c1,доза
dot,noun,b2,точка
double,adjective,a2,двойной
doubt,noun,b1,сомневаться
down,adverb,a1,вниз
download,noun,a2,скачать
downstairs,adjective,a2,внизу
downtown,adjective,b2,центр города
downwards,adverb,b2,вниз
dozen,determiner,b2,дюжина
draft,noun,b2,черновик
drag,verb,b2,тащить
drain,verb,c1,осушать
drama,noun,a2,драма
dramatic,adjective,b2,драматический
dramatically,adverb,b2,драматично
draw,verb,a1,рисовать
drawing,noun,a2,рисунок
dream,noun,a2,мечтать
dress,noun,a1,одеваться
dressed,adjective,b1,одетый
drift,verb,c1,дрейф
drink,noun,a1,напиток
drive,noun,a2,водить машину
driver,noun,a1,водитель
driving,adjective,c1,вождение
drop,noun,b1,уронить
drought,noun,b2,засуха
drown,verb,c1,тонуть
drug,noun,a2,лекарство
drum,noun,b1,барабан
drunk,adjective,b1,пьяный
dry,adjective,a2,сухой
dual,adjective,c1,двойной
dub,verb,c1,даб
due,adjective,b1,должный
dull,adjective,b2,тупой
dumb,adjective,c1,тупой
dump,verb,b2,свалка
duo,noun,c1,дуэт
duration,noun,b2,продолжительность
during,preposition,a1,в течение
dust,noun,b1,пыль
duty,noun,b1,долг
DVD,noun,a1,DVD
dynamic,adjective,b2,динамика
each,adverb,a1,каждый
eager,adjective,c1,жаждущий
ear,noun,a1,ухо
early,adjective,a1,рано
earn,verb,a2,зарабатывать
earnings,noun,c1,заработок
earth,noun,a2,земля
earthquake,noun,b1,землетрясение
ease,noun,c1,простота
easily,adverb,a2,легко
east,adjective,a1,восток
eastern,adjective,b1,восточный
easy,adjective,a1,легкий
eat,verb,a1,есть
echo,noun,c1,эхо
ecological,adjective,c1,экологический
economic,adjective,b1,экономический
economics,noun,b2,Экономика
economist,noun,b2,экономист
economy,noun,b1,экономика
edge,noun,b1,край
edit,verb,b2,редактировать
edition,noun,b2,версия
editor,noun,b1,редактор
editorial,adjective,b2,редакционная статья
educate,verb,b1,обучать
educated,adjective,b1,образованный
education,noun,a2,образование
educational,adjective,b1,образовательный
educator,noun,c1,педагог
effect,noun,a2,эффект
effective,adjective,b1,эффективная
effectively,adverb,b1,эффективно
effectiveness,noun,c1,эффективность
efficiency,noun,c1,эффективность
efficient,adjective,b2,эффективный
efficiently,adverb,b2,эффективно
effort,noun,b1,усилие
egg,noun,a1,яйцо
ego,noun,c1,эго
eight,number,a1,восемь
eighteen,number,a1,восемнадцать
eighty,number,a1,восемьдесят
either,adverb,a2,или
elaborate,adjective,c1,разрабатывать
elbow,noun,b2,локоть
elderly,adjective,b2,пожилые люди
elect,verb,b2,избранный
election,noun,b1,выборы
electoral,adjective,c1,избирательный
electric,adjective,a2,электрический
electrical,adjective,a2,электрический
electricity,noun,a2,электричество
electronic,adjective,a2,электронный
electronics,noun,b2,Электроника
elegant,adjective,b2,элегантный
element,noun,b1,элемент
elementary,adjective,b2,элементарный
elephant,noun,a1,слон
elevate,verb,c1,поднять
eleven,number,a1,одиннадцать
eligible,adjective,c1,имеющий право
eliminate,verb,b2,устранять
elite,noun,c1,элита
else,adverb,a1,еще
elsewhere,adverb,b2,в другом месте
email,noun,a1,электронная почта
embark,verb,c1,выступать
embarrassed,adjective,b1,смущенный
embarrassing,adjective,b1,смущающий
embarrassment,noun,c1,смущение
embassy,noun,c1,посольство
embed,verb,c1,внедрение
embody,verb,c1,воплощать
embrace,verb,b2,объятие
emerge,verb,b2,появляться
emergence,noun,c1,появление
emergency,noun,b1,чрезвычайная ситуация
emission,noun,b2,эмиссия
emotion,noun,b1,эмоция
emotional,adjective,b2,эмоциональный
emotionally,adverb,b2,эмоционально
emphasis,noun,b2,акцент
emphasize,verb,b2,подчеркивать
empire,noun,b2,империя
empirical,adjective,c1,эмпирический
employ,verb,a2,применять
employee,noun,a2,сотрудник
employer,noun,a2,работодатель
employment,noun,b1,работа
empower,verb,c1,расширение возможностей
empty,adjective,a2,пустой
enable,verb,b2,давать возможность
enact,verb,c1,вступить в действие
encompass,verb,c1,Encompass
encounter,noun,b2,сталкиваться
encourage,verb,b1,поощрять
encouragement,noun,c1,поощрение
encouraging,adjective,c1,обнадеживает
end,noun,a1,конец
endeavour,noun,c1,стараться
ending,noun,a2,конец
endless,adjective,c1,бесконечный
endorse,verb,c1,одобрить
endorsement,noun,c1,поддержка
endure,verb,c1,терпеть
enemy,noun,b1,враг
energy,noun,a2,энергия
enforce,verb,c1,применение
enforcement,noun,c1,правоприменение
engage,verb,b2,привлекать
engaged,adjective,b1,помолвлен
engagement,noun,c1,обручение
engaging,adjective,c1,вовлечение
engine,noun,a2,двигатель
engineer,noun,a2,инженер
engineering,noun,b1,инженерный
enhance,verb,b2,усиливать
enjoy,verb,a1,наслаждаться
enjoyable,adjective,b2,приятный
enormous,adjective,a2,громадный
enough,adverb,a1,достаточно
enquire,verb,c1,запросить
enquiry,noun,b2,расследование
enrich,verb,c1,обогащение
enrol,verb,c1,зарегистрироваться
ensue,verb,c1,последовательно
ensure,verb,b2,гарантировать
enter,verb,a2,входить
enterprise,noun,c1,предприятие
entertain,verb,b1,развлекать
entertaining,adjective,b2,развлекательный
entertainment,noun,b1,развлечение
enthusiasm,noun,b2,энтузиазм
enthusiast,noun,c1,энтузиаст
enthusiastic,adjective,b2,энтузиазм
entire,adjective,b2,весь
entirely,adverb,b2,полностью
entitle,verb,c1,право
entity,noun,c1,сущность
entrance,noun,b1,вход
entrepreneur,noun,b2,предприниматель
entry,noun,b1,вход
envelope,noun,b2,конверт
environment,noun,a2,среда
environmental,adjective,b1,относящийся к окружающей среде
epidemic,noun,c1,эпидемия
episode,noun,b1,эпизод
equal,adjective,b1,равный
equality,noun,c1,равенство
equally,adverb,b1,одинаково
equation,noun,c1,уравнение
equip,verb,b2,оборудовать
equipment,noun,a2,оборудование
equivalent,adjective,b2,эквивалент
era,noun,b2,эпоха
erect,verb,c1,верховой
error,noun,a2,ошибка
erupt,verb,b2,извергаться
escalate,verb,c1,эскалация
escape,noun,b1,побег
especially,adverb,a2,особенно
essay,noun,a2,эссе
essence,noun,c1,сущность
essential,adjective,b1,существенный
essentially,adverb,b2,по сути
establish,verb,b2,учреждать
establishment,noun,c1,учреждение
estate,noun,b2,имущество
estimate,noun,b2,оценивать
eternal,adjective,c1,вечный
ethic,noun,b2,этика
ethical,adjective,b2,этичный
ethnic,adjective,b2,этнический
euro,noun,a1,евро
evacuate,verb,c1,эвакуируюсь
evaluate,verb,b2,оценивать
evaluation,noun,b2,оценка
even,adjective,b2,даже
evening,noun,a1,вечер
event,noun,a1,событие
eventually,adverb,b1,в конце концов
ever,adverb,a1,всегда
every,determiner,a1,каждый
everybody,pronoun,a1,все
everyday,adjective,a2,каждый день
everyone,pronoun,a1,каждый
everything,pronoun,a1,все
everywhere,adverb,a2,повсюду
evidence,noun,a2,доказательство
evident,adjective,b2,очевидный
evil,adjective,b2,зло
evoke,verb,c1,вызывает
evolution,noun,b2,эволюция
evolutionary,adjective,c1,эволюционный
evolve,verb,b2,эволюционировать
exact,adjective,a2,точный
exactly,adverb,a2,точно
exaggerate,verb,c1,преувеличивать
exam,noun,a1,экзамен
examination,noun,b2,экзамен
examine,verb,b1,исследовать
example,noun,a1,пример
exceed,verb,b2,превосходить
excellence,noun,c1,превосходство
excellent,adjective,a2,отличный
except,conjunction,b1,кроме
exception,noun,b2,исключение
exceptional,adjective,c1,исключительный
excess,adjective,c1,избыток
excessive,adjective,b2,излишний
exchange,noun,b1,обмен
excited,adjective,a1,взволнованный
excitement,noun,b1,возбуждение
exciting,adjective,a1,захватывающий
exclude,verb,b2,исключать
exclusion,noun,c1,исключение
exclusive,adjective,c1,эксклюзивный
exclusively,adverb,c1,исключительно
excuse,noun,b2,извинение
execute,verb,c1,выполнять
execution,noun,c1,исполнение
executive,adjective,b2,исполнительный
exercise,noun,a1,упражнение
exert,verb,c1,поступить
exhibit,noun,b2,выставка
exhibition,noun,b1,выставка
exile,noun,c1,изгнание
exist,verb,a2,существовать
existence,noun,b2,существование
exit,noun,b2,Выход
exotic,adjective,b2,экзотическое
expand,verb,b1,расширять
expansion,noun,b2,расширение
expect,verb,a2,ожидать
expectation,noun,b2,ожидание
expected,adjective,b1,ожидал
expedition,noun,b1,экспедиция
expenditure,noun,c1,расходы
expense,noun,b2,расход
expensive,adjective,a1,дорогой
experience,noun,a2,опыт
experienced,adjective,b1,опытный
experiment,noun,a2,эксперимент
experimental,adjective,c1,экспериментальный
expert,adjective,a2,эксперт
expertise,noun,b2,опыт
expire,verb,c1,истекает
explain,verb,a1,объяснять
explanation,noun,a2,объяснение
explicit,adjective,c1,явный
explicitly,adverb,c1,явно
explode,verb,b1,взорваться
exploit,verb,b2,эксплойт
exploitation,noun,c1,эксплуатация
exploration,noun,b2,исследование
explore,verb,b1,исследовать
explosion,noun,b1,взрыв
explosive,adjective,c1,взрывной
export,noun,b1,экспорт
expose,verb,b2,разоблачать
exposure,noun,b2,контакт
express,verb,a2,выражать
expression,noun,a2,выражение
extend,verb,b2,продлевать
extension,noun,b2,расширение
extensive,adjective,b2,обширный
extensively,adverb,b2,широко
extent,noun,b2,степень
external,adjective,b2,внешний
extra,adjective,a1,дополнительный
extract,noun,b2,извлекать
extraordinary,adjective,b2,необычайно
extreme,adjective,a2,крайний
extremely,adverb,a2,очень сильно
extremist,noun,c1,экстремист
eye,noun,a1,глаз
fabric,noun,b2,ткань
fabulous,adjective,b2,поразительнй
face,noun,a1,лицо
facilitate,verb,c1,способствовать
facility,noun,b2,средство
fact,noun,a1,факт
faction,noun,c1,фракция
factor,noun,a2,фактор
factory,noun,a2,фабрика
faculty,noun,c1,факультет
fade,verb,c1,тускнеть
fail,verb,a2,неудача
failed,adjective,b2,неуспешный
failure,noun,b2,отказ
fair,adjective,a2,справедливый
fairly,adverb,b1,весьма
fairness,noun,c1,справедливость
faith,noun,b2,вера
fake,adjective,b2,фальшивый
fall,noun,a2,падать
false,adjective,a1,ЛОЖЬ
fame,noun,b2,слава
familiar,adjective,b1,привычный
family,adjective,a1,семья
famous,adjective,a1,известный
fan,noun,a2,вентилятор
fancy,adjective,b1,изысканный
fantastic,adjective,a1,фантастика
fantasy,noun,b2,фантастика
far,adjective,b1,далеко
fare,noun,b2,плата за проезд
farm,noun,a1,ферма
farmer,noun,a1,фермер
farming,noun,a2,сельское хозяйство
fascinating,adjective,b1,очаровательный
fashion,noun,a2,мода
fashionable,adjective,b1,модный
fast,adjective,a1,быстрый
fasten,verb,b1,закрепить
fat,adjective,a1,толстый
fatal,adjective,c1,фатальный
fate,noun,c1,судьба
father,noun,a1,отец
fault,noun,b2,вина
favour,noun,b1,услуга
favourable,adjective,c1,благоприятный
favourite,adjective,a1,любимый
fear,noun,a2,страх
feat,noun,c1,подвиг
feather,noun,b2,перо
feature,noun,a2,особенность
February,noun,a1,Февраль
federal,adjective,b2,федеральный
fee,noun,b2,платеж
feed,noun,b2,кормить
feedback,noun,b2,обратная связь
feeding,noun,,кормление
feel,noun,b2,чувствовать
feeling,noun,a1,чувство
fellow,adjective,b2,парень
female,adjective,a2,женский
feminist,adjective,c1,феминистка
fence,noun,b1,изгородь
festival,noun,a1,фестиваль
fever,noun,b2,высокая температура
few,adjective,a1,немного
fibre,noun,c1,волокно
fiction,noun,a2,вымысел
field,noun,a2,поле
fierce,adjective,c1,яростный
fifteen,number,a1,пятнадцать
fifth,ordinal number,a1,пятый
fifty,number,a1,пятьдесят
fight,noun,a2,драться
fighting,noun,b1,боевой
figure,noun,a2,фигура
file,noun,b1,файл
fill,verb,a1,наполнять
film,noun,a1,фильм
film-maker,noun,c1,режиссер
filter,noun,c1,фильтр
final,adjective,a1,финал
finally,adverb,a2,окончательно
finance,noun,b2,финансы
financial,adjective,b1,Финансовый
find,verb,a1,находить
finding,noun,b2,нахождение
fine,adjective,a1,отлично
finger,noun,a2,палец
finish,noun,a2,заканчивать
fire,noun,a1,огонь
firearm,noun,c1,огнестрельное оружие
firefighter,noun,b2,пожарный
firework,noun,b2,фейерверк
firm,adjective,b2,твердый
firmly,adverb,b2,твердо
first,adverb,a1,первый
firstly,adverb,a2,во-первых
fish,noun,a1,рыба
fishing,noun,a2,рыбалка
fit,adjective,a2,соответствовать
fitness,noun,b1,Фитнес
five,number,a1,пять
fix,noun,b2,исправить
fixed,adjective,b1,зафиксированный
fixture,noun,c1,приспособление
flag,noun,b1,флаг
flame,noun,b2,пламя
flash,noun,b2,вспышка
flat,adjective,a2,плоский
flavour,noun,b2,вкус
flaw,noun,c1,недостаток
flawed,adjective,c1,ошибочно
flee,verb,c1,бежать
fleet,noun,c1,флот
flesh,noun,c1,плоть
flexibility,noun,c1,Гибкость
flexible,adjective,b2,гибкий
flight,noun,a1,полет
float,verb,b2,плавать
flood,noun,b1,наводнение
floor,noun,a1,пол
flour,noun,b1,мука
flourish,verb,c1,процветать
flow,noun,b1,поток
flower,noun,a1,цветок
flu,noun,a2,грипп
fluid,noun,c1,жидкость
fly,noun,a2,летать
flying,adjective,a2,летающий
focus,noun,a2,фокус
fold,noun,b2,складывать
folding,adjective,b2,складывание
folk,adjective,b1,народ
follow,verb,a1,следовать
following,adjective,a2,следующий
fond,adjective,b2,любить
food,noun,a1,еда
fool,noun,b2,дурак
foot,noun,a1,ступня
footage,noun,c1,отснятый материал
football,noun,a1,футбол
for,preposition,a1,для
forbid,verb,b2,запрещать
force,noun,b1,сила
forecast,noun,b2,прогноз
foreign,adjective,a2,иностранный
foreigner,noun,c1,Иностранец
forest,noun,a2,лес
forever,adverb,b1,навсегда
forge,verb,c1,кузница
forget,verb,a1,забывать
forgive,verb,b2,простить
fork,noun,a2,вилка
form,noun,a1,форма
formal,adjective,a2,формальный
format,noun,b2,формат
formation,noun,b2,формация
former,adjective,b2,бывший
formerly,adverb,b2,ранее
formula,noun,c1,формула
formulate,verb,c1,сформулировать
forth,adverb,c1,вперед
forthcoming,adjective,c1,Предстоящий
fortunate,adjective,b2,повезло
fortunately,adverb,a2,к счастью
fortune,noun,b2,удача
forty,number,a1,сорок
forum,noun,b2,форум
forward,adjective,b2,вперед
fossil,noun,b2,ископаемое
foster,verb,c1,взращивать
found,verb,b2,найденный
foundation,noun,b2,фундамент
founder,noun,b2,основатель
four,number,a1,четыре
fourteen,number,a1,четырнадцать
fourth,ordinal number,a1,четвертый
fraction,noun,b2,фракция
fragile,adjective,c1,хрупкий
fragment,noun,b2,фрагмент
frame,noun,b1,рамка
framework,noun,b2,рамки
franchise,noun,c1,франшиза
frankly,adverb,c1,честно говоря
fraud,noun,b2,мошенничество
free,adjective,a1,бесплатно
freedom,noun,b2,свобода
freely,adverb,b2,свободно
freeze,verb,b1,заморозить
frequency,noun,b2,частота
frequent,adjective,b2,частый
frequently,adverb,b1,часто
fresh,adjective,a2,свежий
Friday,noun,a1,Пятница
fridge,noun,a2,холодильник
friend,noun,a1,друг
friendly,adjective,a1,дружелюбно
friendship,noun,b1,дружба
frighten,verb,b1,напуган
frightened,adjective,b1,испуганный
frightening,adjective,b1,пугающий
frog,noun,a2,лягушка
from,preposition,a1,от
front,adjective,a1,передний
frozen,adjective,b1,заморожен
fruit,noun,a1,фрукты
frustrated,adjective,c1,расстроенный
frustrating,adjective,c1,раздражающий
frustration,noun,c1,разочарование
fry,verb,b1,жарить
fuel,noun,b1,топливо
fulfil,verb,b2,выполнить
full,adjective,a1,полный
full-time,adjective,b2,на постоянной основе
fully,adverb,b2,полностью
fun,adjective,a2,веселье
function,noun,b1,функция
functional,adjective,c1,функциональный
fund,noun,b2,фонд
fundamental,adjective,b2,фундаментальный
fundamentally,adverb,b2,принципиально
funding,noun,b2,финансирование
fundraising,noun,c1,Сбор средств
funeral,noun,c1,похороны
funny,adjective,a1,забавный
fur,noun,b1,шерсть
furious,adjective,b2,яростный
furniture,noun,a2,мебель
further,adjective,a2,дальше
furthermore,adverb,b2,более того
future,adjective,a2,будущее
gain,noun,b2,прирост
gallery,noun,a2,галерея
gallon,noun,c1,галлон
gambling,noun,c1,играть в азартные игры
game,noun,a1,игра
gaming,noun,b2,игры
gang,noun,b2,банда
gap,noun,a2,зазор
garage,noun,b1,гараж
garden,noun,a1,сад
gas,noun,a2,газ
gate,noun,a2,ворота
gather,verb,b1,собирать
gathering,noun,c1,встреча
gay,adjective,b2,гей
gaze,noun,c1,смотреть
gear,noun,c1,механизм
gender,noun,b2,пол
gene,noun,b2,ген
general,adjective,a2,общий
generally,adverb,b1,в целом
generate,verb,b2,генерировать
generation,noun,b1,поколение
generic,adjective,c1,общий
generous,adjective,b1,щедрый
genetic,adjective,b2,генетический
genius,noun,b2,гениальность
